k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000011000000010,0,18,63,12,1901,198665,0,976510,44349,269455,0,1054093
5,circuit,6,0000000001000011000000010,0,19,63,12,78153,267197,0,1003493,43334,253971,0,1020078
5,circuit,6,0000000001000011000000010,1,1,63,12,124142,433483,0,1809687,46042,360752,0,2035591
5,circuit,6,0000000001000011000000010,1,2,63,12,107248,388722,0,1843245,83199,397150,0,1761232
5,circuit,6,0000000001000011000000010,1,3,63,12,54987,216347,0,890049,32091,353004,0,1380579
5,circuit,6,0000000001000011000000010,1,4,63,12,54522,219724,0,972543,36145,235004,0,1262269
5,circuit,6,0000000001000011000000010,1,5,63,12,54709,221596,0,969079,31524,243948,0,1286294
5,circuit,6,0000000001000011000000010,1,7,63,12,119668,414187,0,1809504,65216,385719,0,1785818
5,circuit,6,0000000001000011000000010,1,11,63,12,45040,197423,0,1142902,27463,188711,0,880825
5,circuit,6,0000000001000011000000010,1,12,63,12,44305,193805,0,1127820,30464,192323,0,889910
5,circuit,6,0000000001000011000000010,1,13,63,12,114899,382933,0,1850951,84391,425315,0,1753238
5,circuit,6,0000000001000011000000010,1,15,63,12,65083,252640,0,1284073,65377,306452,0,1278697
5,circuit,6,0000000001000011000000010,1,17,63,12,53704,180322,0,859870,21467,158943,0,851189
5,circuit,6,0000000001000011000000010,1,18,63,12,52865,178443,0,851675,27256,163517,0,849613
5,circuit,6,0000000001000011000000010,1,19,63,12,55327,187034,0,865592,19597,154835,0,790513
5,circuit,6,0000000001000011000000010,2,0,63,12,76322,235523,0,1905062,130597,597184,0,2088499
5,circuit,6,0000000001000011000000010,2,11,63,12,104332,345520,0,1211492,45217,244976,0,1073747
5,circuit,6,0000000001000011000000010,2,12,63,12,99791,341918,0,1204739,43127,245069,0,1077207
5,circuit,6,0000000001000011000000010,2,14,63,12,140990,403719,0,1418362,76362,381586,0,1451375
5,circuit,6,0000000001000011000000010,2,15,63,12,56160,381853,0,1411939,78827,386769,0,1453261
5,circuit,6,0000000001000011000000010,3,4,63,12,50259,213786,0,1135417,78479,301350,0,1160169
5,circuit,6,0000000001000011000000010,3,5,63,12,54333,224198,0,1117175,79905,308620,0,1180266
5,circuit,6,0000000001000011000000010,3,11,63,12,44733,238108,0,1185689,43256,252136,0,1146601
5,circuit,6,0000000001000011000000010,3,12,63,12,38416,221595,0,1189214,45539,251811,0,1148760
5,circuit,6,0000000001000011000000010,3,14,63,12,59280,278509,0,1389745,63792,362501,0,1507120
5,circuit,6,0000000001000011000000010,3,15,63,12,33762,244910,0,1383431,70224,340926,0,1455302
5,circuit,6,0000000001000011000000010,3,17,63,12,33962,167068,0,975926,29750,196663,0,879407
5,circuit,6,0000000001000011000000010,3,18,63,12,28256,164493,0,964788,28895,194101,0,871300
5,circuit,6,0000000001000011000000010,4,3,63,12,40018,202213,0,837389,65938,324664,0,1154301
5,circuit,6,0000000001000011000000010,4,11,63,12,54886,219815,0,1142003,47500,257724,0,1181682
5,circuit,6,0000000001000011000000010,4,12,63,12,55523,218426,0,1129601,50790,263838,0,1173197
5,circuit,6,0000000001000011000000010,4,14,63,12,67914,278492,0,1297936,86755,387640,0,1582725
