k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,toxicity,6,0000000001000011000000010,1,14,63,12,2998,27722,0,356300,190518,665314,0,1980437
5,toxicity,6,0000000001000011000000010,2,16,63,12,1487,22409,0,472908,60635,270206,0,1043448
5,toxicity,6,0000000001000011000000010,0,7,63,12,541,4567,0,46775,193734,973166,0,4362222
5,toxicity,6,0000000001000011000000010,1,7,63,12,0,0,0,146,198380,1007561,0,4539477
5,toxicity,6,0000000001000011000000010,3,7,63,12,9412,39158,0,183667,193994,985236,0,4323525
5,toxicity,6,0000000001000011000000010,2,7,63,12,0,0,0,457,241731,1118667,0,4631795
5,toxicity,6,0000000000000010010011000,0,0,63,6,24665,164721,0,1014805,41480,210249,0,1004572
5,toxicity,6,0000000000000010010011000,0,1,63,6,43960,235194,0,1206687,22873,147666,0,867601
5,toxicity,6,0000000000000010010011000,0,2,63,6,53526,270437,0,1283078,17930,124930,0,802732
5,toxicity,6,0000000000000010010011000,0,3,63,6,3420,25262,0,316757,57567,227084,0,799251
5,toxicity,6,0000000000000010010011000,0,4,63,6,27558,137689,0,670020,12743,83838,0,508830
5,toxicity,6,0000000000000010010011000,0,5,63,6,25167,137687,0,681687,10248,76341,0,495866
5,toxicity,6,0000000000000010010011000,0,8,63,6,13686,110697,0,906460,53800,255477,0,1108872
5,toxicity,6,0000000000000010010011000,0,9,63,6,9624,98631,0,855547,63907,281834,0,1150093
5,toxicity,6,0000000000000010010011000,0,10,63,6,28611,154751,0,712528,10713,73413,0,477694
5,toxicity,6,0000000000000010010011000,0,11,63,6,11137,85581,0,559101,23478,123786,0,601641
5,toxicity,6,0000000000000010010011000,0,12,63,6,3117,40080,0,423327,38016,172153,0,707013
5,toxicity,6,0000000000000010010011000,0,13,63,6,21670,146004,0,984984,48312,231911,0,1046952
5,toxicity,6,0000000000000010010011000,0,15,63,6,54537,264808,0,1130179,3902,52275,0,499573
5,toxicity,6,0000000000000010010011000,0,16,63,6,913,11267,0,227306,57230,215237,0,701793
5,toxicity,6,0000000000000010010011000,0,17,63,6,18173,105829,0,541321,12194,75085,0,431370
5,toxicity,6,0000000000000010010011000,0,18,63,6,4114,26986,0,290596,44794,181559,0,642817
5,toxicity,6,0000000000000010010011000,0,19,63,6,34005,162319,0,644096,5912,46287,0,355099
5,toxicity,6,0000000000000010010011000,1,0,63,6,24330,166995,0,1042913,32518,189953,0,982248
5,toxicity,6,0000000000000010010011000,1,1,63,6,42524,230283,0,1196148,21405,145829,0,873611
5,toxicity,6,0000000000000010010011000,1,2,63,6,52522,264813,0,1263821,17438,126450,0,817537
5,toxicity,6,0000000000000010010011000,1,3,63,6,2722,24267,0,307773,60405,236114,0,810604
5,toxicity,6,0000000000000010010011000,1,4,63,6,27799,142822,0,692126,8542,71221,0,497072
5,toxicity,6,0000000000000010010011000,1,5,63,6,24165,130980,0,657957,11558,84442,0,521423
5,toxicity,6,0000000000000010010011000,1,8,63,6,14530,114308,0,914445,52661,252435,0,1104601
5,toxicity,6,0000000000000010010011000,1,9,63,6,8686,100007,0,884343,51196,257298,0,1122560
5,toxicity,6,0000000000000010010011000,1,10,63,6,27229,146957,0,689559,11586,79410,0,500778
5,toxicity,6,0000000000000010010011000,1,11,63,6,11070,88382,0,580851,15699,103835,0,579026
5,toxicity,6,0000000000000010010011000,1,12,63,6,3572,41060,0,415478,39760,179776,0,716989
5,toxicity,6,0000000000000010010011000,1,13,63,6,23982,153282,0,993382,46349,228190,0,1041922
