task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,19,SrpR/S4,196128,94212,1.0578048216284512,19,11,290340
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,0,AmeR/F1,381598,589775,-0.6281097247138674,23,10,971373
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,1,AmtR/A1,743702,511264,0.5406553259051052,23,10,1254966
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,2,BetI/E1,844634,629769,0.4235029965440885,23,10,1474403
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,3,BM3R1/B1,294259,294613,-0.0017345445918651072,23,10,588872
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,4,BM3R1/B2,395751,269627,0.5536263177493879,23,10,665378
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,5,BM3R1/B3,377054,255049,0.5639948801591134,23,10,632103
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,6,HlyIIR/H1,530832,889451,-0.7446586906663022,23,10,1420283
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,7,IcaRA/I1,739251,574236,0.3644199502916394,23,10,1313487
circuit_log,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,8,LitR/L1,525402,853616,-0.7001644699443336,23,10,1379018
